name,country,subcountry,geonameid
'Ali Sabieh,Djibouti,225284
's-Gravenzande,Netherlands,2747364
's-Hertogenbosch,Netherlands,2747351
A Coruña,Spain,3119841
A Estrada,Spain,3119746
Aabenraa,Denmark,2625070
Aachen,Germany,3247449
Aalborg,Denmark,2624886
Aalen,Germany,2959927
Aalsmeer,Netherlands,2760134
Aalst,Belgium,2803448
Aalten,Netherlands,2760123
Aalter,Belgium,2803443
Aarau,Switzerland,2661881
Aarschot,Belgium,2803429
Aba,Nigeria,2353151
Abadan,Iran,145459
Abadan,Turkmenistan,162099
Abaetetuba,Brazil,3408424
Abaeté,Brazil,3473267
Abakaliki,Nigeria,2353099
Abakan,Russia,1512236
Abancay,Peru,3948642
Abano Terme,Italy,3183587
Abashiri,Japan,2130741
Abasolo,Mexico,4019869
Abay,Kazakhstan,1526970
Abaza,Russia,1512205
Abbeville,France,3038789
Abbiategrasso,Italy,3183573
Abbotsford,Canada,5881791
Abbottābād,Pakistan,1185056
Abdulino,Russia,584471
Abengourou,Ivory Coast,2293549
Abeokuta,Nigeria,2352947
Abepura,Indonesia,2082727
Aberdare,United Kingdom,2657835
Aberdeen,United Kingdom,2657832
Aberdeen,United States,5225857
Aberdeen,United States,5785243
Abergele,United Kingdom,2657812
Aberystwyth,United Kingdom,2657782
Abha,Saudi Arabia,110690
Abhar,Iran,145034
Abhayāpuri,India,1279407
Abidjan,Ivory Coast,2293538
Abiko,Japan,2113164
Abilene,United States,4669635
Abingdon,United Kingdom,2657780
Abington,United States,4928662
Abinsk,Russia,584441
Abnūb,Egypt,362973
Abobo,Ivory Coast,2293521
Abohar,India,1279403
Aboisso,Ivory Coast,2293507
Abomey,Benin,2395915
Abomey-Calavi,Benin,2395914
Abomsa,Ethiopia,345704
Abony,Hungary,723030
Abou el Hassan,Algeria,2509031
Abovyan,Armenia,617026
Abqaiq,Saudi Arabia,107312
Abreu e Lima,Brazil,3408404
Abreus,Cuba,3569741
Abu Dhabi,United Arab Emirates,292968
Abu Jibeha,Sudan,380757
Abucay,Philippines,1732354
Abuja,Nigeria,2352778
Aburi,Ghana,2306119
Abuyog,Philippines,1732312
Abéché,Chad,245785
Abū Ghurayb,Iraq,100077
Abū Kabīr,Egypt,362485
Abū Qurqāş,Egypt,362277
Abū Tīj,Egypt,362004
Abū Zabad,Sudan,380348
Abū al Maţāmīr,Egypt,362882
Abū ‘Arīsh,Saudi Arabia,110619
Acacías,Colombia,3690577
Acajete,Mexico,3533486
Acajutla,El Salvador,3587498
Acaponeta,Mexico,4019819
Acapulco de Juárez,Mexico,3533462
Acaraú,Brazil,3408368
Acarigua,Venezuela,3649833
Acatlán de Osorio,Mexico,3533440
Acatzingo de Hidalgo,Mexico,3533433
Acayucan,Mexico,3533426
Accra,Ghana,2306104
Accrington,United Kingdom,2657770
Acerra,Italy,3183541
Achalpur,India,1279390
Acharnés,Greece,265488
Acheng,China,2038679
Achern,Germany,2959686
Achhnera,India,1279382
Achiaman,Ghana,2306079
Achim,Germany,2959681
Achinsk,Russia,1512165
Achkhoy-Martan,Russia,584298
Achères,France,3038712
Aci Castello,Italy,2525792
Aci Catena,Italy,2525791
Acilia-Castel Fusano-Ostia Antica,Italy,3183539
Acireale,Italy,2525790
Acocks Green,United Kingdom,2657703
Acopiara,Brazil,3408343
Acquaviva delle Fonti,Italy,3183494
Acqui Terme,Italy,3183490
Acton,United Kingdom,2657697
Acton,United States,4928703
Actopan,Mexico,3533389
Acworth,United States,4179074
Acámbaro,Mexico,4019827
Ad Darbāsīyah,Syria,170887
Ad Dasmah,Kuwait,285856
Ad Dawādimī,Saudi Arabia,110325
Ad Dilam,Saudi Arabia,110314
Ad Dilinjāt,Egypt,361827
Ad Dindar,Sudan,380151
Ad Douiem,Sudan,380129
Ad Dujayl,Iraq,99759
Ad Dānā,Syria,174259
Ad Dīwānīyah,Iraq,99762
Ad-Damazin,Sudan,380174
Ada,United States,4529096
Adamantina,Brazil,3473157
Adamstown,Pitcairn,4030723
Adana,Turkey,325363
Adapazarı,Turkey,752850
Addanki,India,1279356
Addiet Canna,Ethiopia,345353
Addis Ababa,Ethiopia,344979
Addison,United States,4882920
Adeje,Spain,2522437
Adelaide,Australia,2078025
Adelaide Hills,Australia,7302628
Adelanto,United States,5322400
Adelfia,Italy,3183472
Adelphi,United States,4346991
Aden,Yemen,415189
Adh Dhayd,United Arab Emirates,292953
Adiaké,Ivory Coast,2293428
Adilcevaz,Turkey,325336
Adirampattinam,India,1278204
Adiwerna,Indonesia,1651887
Adjud,Romania,686669
Adjumani,Uganda,235489
Adler,Russia,584243
Adlershof,Germany,2959441
Adliswil,Switzerland,2661861
Admiralteisky,Russia,8504953
Ado Odo,Nigeria,2352356
